Employee Number,Month,Day,Login,Logout
10001,6,3,8:59,18:31
10002,6,3,10:35,19:44
10003,6,3,10:23,18:32
10004,6,3,10:57,18:14
10005,6,3,9:48,17:13
10006,6,3,9:31,19:29
10007,6,3,9:09,16:30
10008,6,3,9:02,18:06
10009,6,3,8:18,17:40
10010,6,3,8:10,15:13
10011,6,3,9:08,19:36
10012,6,3,9:47,18:43
10013,6,3,9:48,19:21
10014,6,3,9:23,18:09
10015,6,3,8:41,19:27
10016,6,3,8:41,16:45
10017,6,3,9:40,17:24
10018,6,3,8:22,16:46
10019,6,3,9:53,17:24
10020,6,3,8:47,16:27
10021,6,3,9:37,18:45
10022,6,3,10:54,20:10
10023,6,3,10:27,20:10
10024,6,3,9:16,17:57
10025,6,3,10:18,18:07
10026,6,3,8:17,18:31
10027,6,3,9:05,19:14
10028,6,3,8:52,17:23
10029,6,3,10:57,21:44
10030,6,3,9:04,16:39
10031,6,3,10:07,20:51
10032,6,3,8:29,16:46
10033,6,3,10:02,19:39
10034,6,3,10:05,18:12
10001,6,4,9:47,19:07
10002,6,4,10:11,20:16
10003,6,4,10:45,20:37
10004,6,4,9:45,16:54
10005,6,4,9:50,20:20
10006,6,4,10:00,20:12
10007,6,4,9:16,16:18
10008,6,4,9:36,18:56
10009,6,4,10:41,19:21
10010,6,4,8:05,18:36
10011,6,4,9:58,17:04
10012,6,4,8:41,16:55
10013,6,4,8:13,17:58
10014,6,4,9:11,17:10
10015,6,4,10:35,18:43
10016,6,4,10:15,18:12
10017,6,4,9:04,17:32
10018,6,4,10:40,21:01
10019,6,4,8:05,18:10
10020,6,4,9:05,18:27
10021,6,4,8:59,19:50
10022,6,4,10:58,18:51
10023,6,4,10:06,20:32
10024,6,4,8:35,18:14
10025,6,4,8:01,15:39
10026,6,4,8:25,16:41
10027,6,4,10:47,20:39
10028,6,4,10:05,19:33
10029,6,4,10:38,20:56
10030,6,4,8:20,16:30
10031,6,4,10:13,17:52
10032,6,4,8:48,16:36
10033,6,4,10:10,18:54
10034,6,4,9:35,19:15
10001,6,5,10:57,21:32
10002,6,5,9:24,19:19
10003,6,5,9:18,18:46
10004,6,5,8:44,18:31
10005,6,5,9:10,17:17
10006,6,5,8:28,16:52
10007,6,5,9:25,17:45
10008,6,5,10:44,18:51
10009,6,5,10:46,17:54
10010,6,5,9:48,19:19
10011,6,5,10:50,20:28
10012,6,5,8:52,19:40
10013,6,5,8:49,16:12
10014,6,5,8:50,18:10
10015,6,5,8:06,17:06
10016,6,5,9:29,19:25
10017,6,5,8:08,17:06
10018,6,5,9:09,19:20
10019,6,5,9:14,19:40
10020,6,5,10:42,21:00
10021,6,5,10:18,18:05
10022,6,5,10:55,21:26
10023,6,5,10:01,20:19
10024,6,5,9:19,19:00
10025,6,5,10:50,18:44
10026,6,5,10:11,19:17
10027,6,5,8:57,17:35
10028,6,5,10:14,19:01
10029,6,5,8:02,15:06
10030,6,5,9:24,17:30
10031,6,5,9:24,18:09
10032,6,5,10:33,19:11
10033,6,5,9:59,18:34
10034,6,5,10:38,18:12
10001,6,6,9:32,19:15
10002,6,6,10:47,20:43
10003,6,6,10:10,18:01
10004,6,6,10:09,18:01
10005,6,6,10:47,19:28
10006,6,6,10:11,17:27
10007,6,6,9:51,19:58
10008,6,6,9:21,16:49
10009,6,6,8:47,17:44
10010,6,6,10:51,19:37
10011,6,6,10:31,20:05
10012,6,6,8:55,15:56
10013,6,6,10:55,21:18
10014,6,6,9:08,17:30
10015,6,6,8:12,18:22
10016,6,6,9:11,18:56
10017,6,6,10:10,19:33
10018,6,6,8:25,15:51
10019,6,6,9:08,17:46
10020,6,6,8:39,17:39
10021,6,6,8:03,16:44
10022,6,6,8:09,18:21
10023,6,6,10:55,19:53
10024,6,6,10:00,19:11
10025,6,6,10:05,17:32
10026,6,6,8:13,15:42
10027,6,6,9:01,18:33
10028,6,6,8:02,17:46
10029,6,6,8:56,17:22
10030,6,6,9:59,20:54
10031,6,6,9:23,16:24
